user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,sentiment_label,column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10
CAWST,100+ countries,"Providing training, education and technical consulting services in water and sanitation",8/6/2009 2:43,3038,2713,7445,FALSE,7/25/2020 12:26,first comprehensive review wash amp covid analysis key way wash help reduce transmission,"['WASH', 'COVID19']",Twitter for iPhone,FALSE,Joy,11,,,,,,,,,
Florian Bieber,Graz,"Niko i ništa, professor, so-called Balkan expert, coordinator @biepag director @cseesgraz, Jean Monnet Chair, tweets English, manchmal Deutsch & ponekad naški.",6/18/2009 9:46,18145,1389,13578,FALSE,7/25/2020 12:26,holy water time covid,['COVID19'],Twitter for Android,FALSE,Neutral,12,,,,,,,,,
Blood Donors India,"Mumbai, India","Focused on matching blood donors with those in need. No followers here, only contributors. Spread the word, help save lives. We save 8/day.",12/23/2008 7:55,1215920,2047,19359,TRUE,7/25/2020 12:26,kolar need blood type bpositive jalappa hospital blood component need plasma bve covid recove,"['Kolar', 'Blood', 'COVID19']",Blood Donors India,FALSE,Neutral,13,,,,,,,,,
Tetra Tech International Development,Working in 175+ countries,A leader in #GlobalDev. We work to improve livelihoods worldwide thru locally driven #sustainable #solutions. Posts by @TetraTech’s Int’l Dev team,8/6/2010 19:09,20699,458,2680,FALSE,7/25/2020 12:26,munition response team bosniaandherzegovina modified ops adopted mask disinfectant sanitizers,['BosniaandHerzegovina'],Twitter Web App,FALSE,Neutral,14,,,,,,,,,
beatnikgeek the soothsayer,"Manhattan, NY","These days, I expose colonizers & exploits @ the subatomic level e.g., Unlimited profits is the only acceptable profit margin.",2/23/2008 19:02,86,259,9412,FALSE,7/25/2020 12:26,imagine people profiting human suffering covid studying map make,['COVID19'],Twitter for Android,FALSE,Neutral,15,,,,,,,,,
Mugilan Chandrakumar,no e-pass to cross borders...,"Journalist/Stay Grounded/ RT's are not Endorsements/ Views are Personal/Coimbatore❤/Chennai.


*Then they came for me-and there was no one left to speak for me*",6/12/2011 18:18,8205,1083,32076,FALSE,7/25/2020 12:26,tncoronaupdate tn cross lakh mark pp recovered far covid positive today total,"['TNCoronaUpdate', 'TN', 'COVID19']",Twitter for Android,FALSE,Joy,16,,,,,,,,,
V2Cinemas,"Chennai, India",V2Cinemas is one of the leading entertainment portal. The reliable destination for Tamil & Telugu movies. HelloV2cinemas@gmail.com https://t.co/8Kakji1WCV,9/14/2014 3:37,55589,548,10526,FALSE,7/25/2020 12:26,actor vishalkofficial father mrgkreddy tested positive covid day back vishal,"['Covid19', 'Vishal']",Twitter for Android,FALSE,Joy,17,,,,,,,,,
Alan Taylor,"British Columbia, Canada",Lifetime learner and traveler. The only asset in life is time.,3/11/2012 21:21,54,422,1392,FALSE,7/25/2020 12:26,unionwill megawedgy jjhorgan regarding community outbreak covid haida gwaii case one recover,['COVID19'],Twitter for iPad,FALSE,Neutral,18,,,,,,,,,
Mr Gazz,"Dorset, UK","European citizen, educator. Proud Dad. Fan of Spurs & England Rugby, ex IT analyst. Tweeting equality, Tech, Pi, food, Learning, music, comedy and more.",8/25/2010 13:01,1416,1637,46021,FALSE,7/25/2020 12:26,jfoster bbclaurak well borisjohnson might understood hadnt missed cobra meeting five,"['BorisJohnson', '5COBRA', 'Five']",Twitter for Android,FALSE,Joy,19,,,,,,,,,
ASHP,"Bethesda, Maryland",ASHP — Representing #pharmacists who serve as patient care providers in acute and ambulatory settings. #MedicationExperts,9/15/2009 19:52,32008,3763,7862,TRUE,7/25/2020 12:26,released two new covid podcast episode week technology platform used conduct telehealth visit c,['COVID19'],Twitter Web App,FALSE,Joy,20,,,,,,,,,
Aishling Sheridan,"Cavan, Ireland",Athletic therapist and trainer ✌️ Cavan ladies ⚽️ Collingwood AFLW #14. ambassador @lidlireland. enquiries contact jason@crosscoders.co,12/21/2011 18:19,1136,484,2002,FALSE,7/25/2020 12:25,playyourpart fight covid one u make difference containing spread let,"['PlayYourPart', 'COVID19']",Twitter for iPhone,FALSE,Neutral,21,,,,,,,,,
Matthew McGee ⴵ 🌍🇪🇺🇬🇧🎭🎞📚,A UK I no longer recognise,"I am a man, and nothing human is alien to me. Arts. Education. Politics. Environment. Anti-Brexit. Think for yourself, act for others. Ubuntu.",12/7/2011 11:16,3113,3086,221545,FALSE,7/25/2020 12:25,britain didnt understand covid month plenty country understand took effective,['Covid19'],Twitter for Android,FALSE,Fear,22,,,,,,,,,
N I C TA S H ♍,"Port Elizabeth, South Africa",I.G: @nictash_tash,4/28/2016 9:05,481,308,1120,FALSE,7/25/2020 12:25,volume back please speakerhighvolume covid,['COVID19'],Twitter for Android,FALSE,Neutral,23,,,,,,,,,
TOI Delhi,"New Delhi, India",Your city. Your neighborhood. Your block. Covered for you by https://t.co/VSKi1mkZBr,4/13/2009 13:00,52186,41,74,TRUE,7/25/2020 12:25,delhi report covid positive case death saturday death toll rise report ani quot,"['Delhi', 'COVID19']",TweetDeck,FALSE,Joy,24,,,,,,,,,
Dr. K. Surender Raj,chennai,"DMK Cuddalore Dist. Students Wing Joint Sec.
MD @ KSR REALTY, Property Developer",4/5/2020 12:01,152,885,1496,FALSE,7/25/2020 12:25,tamilnadu covid th july tn highest spike total case chennai,"['TamilNadu', 'COVID19']",Twitter for iPhone,FALSE,Neutral,25,,,,,,,,,
Barry Grodenchik,"Queens, NY",Queens lifer representing Eastern Queens in the NYC Council. Blessed w Debra & David. Major @Mets fan. Never believe your own press. Weather too!,11/23/2012 16:51,4868,445,31825,FALSE,7/25/2020 12:25,nytimes reporting yesterday people died covid usa k new case reported serio,['COVID19'],Twitter for Android,FALSE,Joy,26,,,,,,,,,
CARLINO,"New Orleans, LA",IG Carlino213: Alumni LA Southwest College: Professional Barber : Artist: https://t.co/UrhpWpTUV5,4/19/2015 22:07,11,3,133,FALSE,7/25/2020 12:25,crazy world come american fight get thisUnitedStatesUnitedStatesUnitedStatesUnitedStatesUnitedStates covid,['covid19'],Twitter for iPhone,FALSE,Sad,27,,,,,,,,,
ᏉᎥ☻լꂅϮ,astroworld,wednesday addams as a disney princess keepin it [̲̅$̲̅(̲̅ιοο̲̅)̲̅$̲̅] 👸🏻💚♊️🧀🌵🌃🌙,5/26/2017 5:46,624,950,18775,FALSE,7/25/2020 12:25,miss isopropyl alcohol much ethanol hand sanitizer smell like poured tequila hand nauseatedface covid,['COVID19'],Twitter for iPhone,FALSE,Joy,28,,,,,,,,,
Jazmine❄️,"Marietta, GA",Living Life Too The Fullest Extent 💰✈️😜😈,4/26/2009 4:34,18092,17557,7156,FALSE,7/25/2020 12:25,due covid aka coronavirus ill sending first people like amp retweet ca,"['COVID19', 'Coronavirus']",Twitter for iPhone,FALSE,Fear,29,,,,,,,,,
Charles Mapundu,"England, United Kingdom","1 thing have I desired of the Lord, that will I seek after; that I may dwell in the house of the Lord all the days of my life, to behold the beauty of the Lord",8/22/2013 23:18,11,40,192,FALSE,7/25/2020 12:25,video stitch obesity carryminati myvsbutch,"['obesity', 'زواج_راكان_الحربي', 'carryminati', 'my200vsbutch200']",Twitter for Android,FALSE,Neutral,30,,,,,,,,,
Stephen Williams,"Ballston Spa, NY","Longtime  reporter at @dgazette: Schenectady Co., Saratoga County,  the environment, politics. Confused about whether trying to save the world is worth it.",8/23/2013 14:39,1429,926,1324,FALSE,7/25/2020 12:25,local government sale tax revenue dropped percent yeartoyear second quarter thanks covid shutdo,['COVID19'],Twitter Web App,FALSE,Neutral,31,,,,,,,,,
BestValueButtons,"Denver, CO","We are a fabric outlet and specialty button Etsy shop featuring high quality stretch fabrics and unique, designer buttons that are handmade in Colorado, USA.",5/30/2018 19:45,1267,2869,1204,FALSE,7/25/2020 12:25,check angel beautiful mask hair bow design etsy epiconetsy masksforsale,"['etsy', 'epiconetsy', 'masksforsale']",IFTTT,FALSE,Joy,32,,,,,,,,,
Whitey,In the south.  ,"A keen linguist who loves to learn and share my love of learning. European, British, English, southerner. Liberal Democrat. Non native German speaker.",9/1/2010 7:35,133,615,2106,FALSE,7/25/2020 12:25,thread drzoehyde based international research evidence updated thread child covid sum,['COVID19'],Twitter for Android,FALSE,Neutral,33,,,,,,,,,
InvestmentGuruIndia,India,"our ambition is to create universal platform 4 investors whereby they get access to news,views & research related to global & local markets all under 1 umbrella",4/3/2015 7:39,15635,35,2,FALSE,7/25/2020 12:25,covid shrink power sector growth take discoms back preuday era industry,['Industry'],Twitter Web App,FALSE,Neutral,34,,,,,,,,,
St. Jude India ChildCare Centres,India,A home away from home for underprivileged families during their child's cancer treatment. Our hygienic & cost-free accommodation is at 38 centres in 9 cities,2/29/2012 12:21,635,371,772,FALSE,7/25/2020 12:25,saturdayvibes current situation call awareness le stress facilitate family,['SaturdayVibes'],Twitter Web App,FALSE,Joy,35,,,,,,,,,
IMF,"Washington, DC",Breaking news and alerts from the International Monetary Fund.,3/18/2009 16:13,1695520,444,182,TRUE,7/25/2020 12:25,economic measure government taking respond covid key action taken country listed,['COVID19'],Hootsuite Inc.,FALSE,Neutral,36,,,,,,,,,
Sales & Business Coach: Rakesh Sharma,"New Delhi, India","Hi, this is Rakesh Sharma from Prime Performance Solutions. We are your business growth partners. Connect with us to take your business to the next level.",1/6/2013 12:50,41,0,2,FALSE,7/25/2020 12:24,rakesh sharma best business coach india website salescoach businesscoach salesforce,"['salescoach', 'BusinessCoach', 'salesforce']",TweetDeck,FALSE,Joy,37,,,,,,,,,
New Straits Times,Malaysia,"News, views and up-to-date reports from Malaysia's premier news source. All that and more at https://t.co/S8jbx5pMaF",7/9/2009 9:04,716342,411,874,TRUE,7/25/2020 12:24,nstworld nationaldayrally ndr year due safe distancing requirement result,"['NSTworld', 'NationalDayRally', 'NDR']",TweetDeck,FALSE,Joy,38,,,,,,,,,
MAX,"LONDON,UK","Presenter/Journo/DJ Love working and playing in both the film x music world, ENJOY over on https://t.co/PcnaekQ7sZ 💁🏽‍♀️💜 contact : Management@FlipYourWig.net",3/8/2009 8:11,73317,1704,5818,TRUE,7/25/2020 12:24,literally using head make decision safety covid government creating conf,['COVID19'],Twitter Web App,FALSE,Joy,39,,,,,,,,,
Senator G Craughwell,Dublin Ireland,Independent Senator & member of the Labour Vocational Panel of Seanad Éireann. Opinions expressed here are my own and only my own. RT is not an endorsement.,1/25/2013 8:13,9623,9494,27038,FALSE,7/25/2020 12:24,ok im angry cannot believe stupidity covid virus kill many must,['COVID19'],Twitter for Android,FALSE,Neutral,40,,,,,,,,,
UmaDlamini,"Durban, South Africa","No Excuse for Gender Based Violence❎🚫
Scorpio: Up and Coming Fashion Designer: A Diamond💎 in the Sky But down to Earth!",7/2/2020 22:11,712,87,121,FALSE,7/25/2020 12:24,durbanjuly weekend yall pity year facing covid cant go person,"['DurbanJuly', 'COVID19']",Twitter for Android,FALSE,Fear,41,,,,,,,,,
ROMEO 🗯️,"Kwa-Thema, South Africa","without commitment you will never start.
without consistency you will never finish.",4/6/2018 18:21,1666,2204,201,FALSE,7/25/2020 12:24,let give try alreadyvideo covid hurricanehanna,"['alreadyvideo', 'COVID19', 'HurricaneHanna']",Twitter for Android,FALSE,Neutral,42,,,,,,,,,
TNCoronaUpdates,"Chennai, India","Data Analyzer |  Stay Connected For All Official News Regarding TNCoronaVirus #CoronaVirus / #COVID19 #TNCoronaUpdates
#TNCorona #CoronaVirusIndia #COVID19India",4/9/2018 16:00,6601,24,22269,FALSE,7/25/2020 12:24,tamilnadu covid th july tn highest spike total case chennai,"['TamilNadu', 'COVID19']",Twitter for Android,FALSE,Neutral,43,,,,,,,,,
The GAA,Ireland,Gaelic Athletic Association/Cumann Lúthchleas Gael is a 32 county sporting and cultural organisation that has a presence on all 5 continents E: info@gaa.ie,11/13/2009 13:40,398260,150,2864,TRUE,7/25/2020 12:24,playyourpart fight covid inthistogether cavan lady footballer aishli,"['PlayYourPart', 'Covid19', 'InThisTogether']",Twitter for iPhone,FALSE,Neutral,44,,,,,,,,,
RumpusGuy64,Cardiff,"N64 geek, craft beer w*nker, foodie (@eatcardiff_eats), @cardiffcityfc fan, wannabe DJ (@lilobillmusic), average golfer. Love a GIF.

All views someone else's.",1/7/2010 13:46,170,724,11790,FALSE,7/25/2020 12:24,egyptian aint got shit covid,['COVID19'],Twitter for Android,FALSE,Fear,45,,,,,,,,,
VideoChinaTV,Beijing,A window brings a real China to you via videos! VideochinaTV is established by China Intercontinental Communication Center.,7/13/2015 1:57,355,202,256,FALSE,7/25/2020 12:24,voice belt road covid rap song alert needed precaution returning work beltandroad,['beltandroad'],Twitter Web App,FALSE,Neutral,46,,,,,,,,,
Kollywood Arena™,Cinema Junction,"Tamil cinema ❤ and Day to day ongoing Intresting Updates ||
Do follow and support 🙏 us For Instant Updates 😊",5/13/2020 16:09,28,164,196,FALSE,7/25/2020 12:24,pr vishalkofficial father mrgkreddy tested positive covid day back vishal,"['Covid19', 'Vishal']",Twitter for Android,FALSE,Joy,47,,,,,,,,,
Habitat For Humanity Texas,"near Austin, Texas","Our mission: Seeking to put God's love into action, Habitat for Humanity Texas brings people together to build homes, communities and hope.",10/15/2012 14:03,876,777,1640,FALSE,7/25/2020 12:24,area hit hanna covid hotspot hurricane harvey work ongoing still,"['hanna', 'COVID19']",Twitter for iPhone,FALSE,Neutral,48,,,,,,,,,
Thomas Faires,"Toronto, Ontario, Canada","...yup, still a husband, vegetarian, computer doofus, and painting again... brush in hand, once again!",4/14/2011 12:36,738,143,28004,FALSE,7/25/2020 12:24,u population infected covid covid trumpvirus maskitorcasket,"['COVID19', 'TrumpVirus', 'MaskItOrCasket']",Twitter for iPhone,FALSE,Neutral,49,,,,,,,,,
adventuresbydad,"Rochester, NY","Family travel advice from Dad's point of view. PhD in neuroscience. Member #NATJA, freelance contributor to Lonely Planet, FamilyVacationist, & more",12/12/2011 20:36,7657,329,25913,FALSE,7/25/2020 12:24,latest foxnews covid keep wish child waiting waltdisneyworld reopens gktwvillage unable b,"['FoxNews', 'COVID19', 'WaltDisneyWorld']",Twitter Web App,FALSE,Neutral,50,,,,,,,,,
Dr. Miguel Escalon,"New York, NY","Miguel Escalon, MD, MPH: Vice Chair, Director of #ICURehab & #PMR Residency Program Director at @MountSinaiRehab. Boarded in #TBI & #SCI. Tweets my own. 🇸🇻",10/16/2017 19:50,1299,994,2743,FALSE,7/25/2020 12:24,coronavirus covid disproportionately affecting community color especially hispanic latinx one ho,"['coronavirus', 'COVID19', 'Hispanic', 'Latinx']",Twitter for iPhone,FALSE,Neutral,51,,,,,,,,,
🎹 Franz Schubert,Новоро́ссия,"🎼  #Новоро́ссия #Novorossiya #оставайсядома #STAYatHOME Polymath, composer, English.",3/19/2018 16:29,1180,1071,1287,FALSE,7/25/2020 12:23,highest ever number new case yesterday coronavirus covid stayathome,"['coronavirus', 'covid19', 'STAYatHOME']",Twitter Web App,FALSE,Joy,52,,,,,,,,,
Public Health is the Economy,"Sarasota, FL ","All the marketing or growth hacks in the world will never fix poor product quality, lack of engagement or a shoddy customer experience",8/12/2016 20:39,10874,7330,488878,FALSE,7/25/2020 12:23,bubbaprog school employee exposed covid manatee county school summer,['COVID19'],Twitter for Android,FALSE,Neutral,53,,,,,,,,,
Michelle Dunning,"Wales, United Kingdom","Primary Care Service Manager working in North Ceredigion. Bevan Exemplar (VIPAR Project).Tweeting to connect, share and learn. Views my own.",1/9/2018 13:02,543,970,16055,FALSE,7/25/2020 12:23,benjamesphotos italy benpc lockdownphotochallenge covid,"['BenPC', 'LOCKDOWNPHOTOCHALLENGE', 'COVID19']",Twitter for Android,FALSE,Neutral,54,,,,,,,,,
Jasmine,Universe,"Nature is beautiful, lets save earth.",2/11/2020 1:46,2181,1928,25969,FALSE,7/25/2020 12:23,cm madhya pradesh tested positive covid scindia also tested covid,['COVID19'],Twitter for Android,FALSE,Joy,55,,,,,,,,,
Livemint,India,"Breaking news and analyses of Indian and world business, economy and politics from Mint.",11/27/2008 9:07,1902888,117,472,TRUE,7/25/2020 12:23,bihar witness biggest singleday spike new covid case,['Covid19'],Twitter Web App,FALSE,Joy,56,,,,,,,,,
Gary Keywood,"Amsterdam, London ","Travel, flights & destination blogger through Gary's Travel Tales. One foot firmly planted in mid-air. Loves a game of tennis and a glass of cold white wine.",4/21/2012 11:54,19257,12615,57909,FALSE,7/25/2020 12:23,lunch amsterdam away mass tourist invaded quickly covid pandemic travel,"['Amsterdam', 'COVID19', 'travel']",Twitter for Android,FALSE,Joy,57,,,,,,,,,
CEO @ Salford CVS 🌍,Salford,"Alison Page, CEO at @SalfordCVS - local infrastructure org. for Salford's voluntary, community & social enterprise sector. Views all mine! Also Chair @VSNWnews",5/13/2013 9:33,4651,3494,40003,FALSE,7/25/2020 12:23,weve captured snapshot amazing vcse response covid pandemic salford want say thank,['COVID19'],Twitter for iPhone,FALSE,Joy,58,,,,,,,,,
IAM Platform,Worldwide,"Curation | Tools | Tips | Services

IAM Platform powers IAM Network:

GO: https://t.co/OJVc7LULBT

Blog | Social | Podcast | Code Trove",12/13/2010 21:24,17815,14941,65440,FALSE,7/25/2020 12:23,well fargo tightens purse string ride coronavirus pandemic read cdc,['cdc'],IAMBLOG2TWITTER,FALSE,Joy,59,,,,,,,,,
Jessica Roland,"New York, NY","Policy & Advocacy @WomenDeliver | @FletcherSchool | Women, Peace & Security, mass atrocities, & transitional justice | Views My Own",5/20/2015 18:20,2314,1923,12908,FALSE,7/25/2020 12:23,thinkpiece gender climate change context covid parimitaenergy,['COVID19'],Twitter Web App,FALSE,Neutral,60,,,,,,,,,
Leicestershire CC,"Leicestershire, United Kingdom",Bringing you news and updates from the County Council. We'll try to reply as quickly as we can during office hours.,12/14/2010 13:57,19996,1777,3705,FALSE,7/25/2020 12:23,leicestershire resident develop covid symptom even mild one book test immediately,"['Leicestershire', 'Covid19']",CrowdControlHQ,FALSE,Joy,61,,,,,,,,,
Siddarth Srinivas,"Chennai, India","Engineer turned entertainment journalist contributing for @OnlyKollywood. Here to celebrate cinema, music and cricket.",9/10/2011 17:36,68681,2110,11963,TRUE,7/25/2020 12:23,actor vishalkofficial father mr gk reddy tested positive covid couple week ago vishals f,"['Covid19', 'Vishal']",Twitter for Android,FALSE,Joy,62,,,,,,,,,
James Wilson,"Kerala, India","Civil engineer, data analyst, my allegiance is to facts alone, highly opinionated, beware! Crushes? water, law, finance, policy, books & DSLR 🥂",8/21/2009 13:55,50389,915,32680,FALSE,7/25/2020 12:23,global fatality chart last hourscovid bolsonaro trump modi,['COVID19'],Twitter for Android,FALSE,Neutral,63,,,,,,,,,
Shayna Baruch,"Goa, India.",Anomalous MelPhleg who is a proud foodie 🤪🙃,12/14/2009 3:26,69,27,9,FALSE,7/25/2020 12:23,dont drown falling river staying submerged fact saturdaymotivation truth,"['facts', 'SaturdayMotivation', 'truth']",Twitter for Android,FALSE,Neutral,64,,,,,,,,,
Dorri 🌊 ❄️ ✍️,"Chelsea, NYC","Manhattan-born dog lover whose head is exploding. Plz post gallows humor memes...STAT. Let's connect!  
#freelance #amwriting #binders #voteblue #TimesUp #MeToo",5/14/2009 23:38,28615,21182,43131,FALSE,7/25/2020 12:23,badbitchinaz id pay republican leave america voteblue voteforbiden votebluetoendthisnightmare,"['VoteBlue2020', 'VoteForBiden', 'VoteBlueToEndThisNightmare']",Twitter for iPhone,FALSE,Neutral,65,,,,,,,,,
Hanoitimes,"Hanoi, Vietnam","Online newspaper: News about Hanoi, the capital of Vietnam
https://t.co/UEIpgY9LQb
https://t.co/E2eRz4ECDm",10/10/2017 2:14,506,135,31,FALSE,7/25/2020 12:23,vietnam high level preparedness prevent covid spread deputy pm vietnam covid coronavirus ncov,"['Vietnam', 'covid19', 'coronavirus', 'ncov']",Twitter Web App,FALSE,Joy,66,,,,,,,,,
PCE,Exeter,"Unified communication solutions for safer, smarter working",4/11/2012 13:03,488,496,1073,FALSE,7/25/2020 12:23,provided north devon tourist attraction digital twowayradio solution even covid struck w,"['twowayradio', 'COVID19']",Buffer,FALSE,Neutral,67,,,,,,,,,
Resist2020,United States,#blacklivesmatter #notmypresident #lovetrumpshate #disgustedamerican #dosomething,7/18/2010 20:57,89,245,12529,FALSE,7/25/2020 12:22,everyone spread covid another study accurate,['COVID19'],Twitter for iPhone,FALSE,Fear,68,,,,,,,,,
YourTV Windsor,"Windsor, Ontario",YourTV is an exclusive service provided to Cogeco television subscribers in the Windsor/Leamington area featuring local content available in HD on channel 700.,9/3/2012 18:27,2719,354,7362,FALSE,7/25/2020 12:22,today day thebigspend buy local amp support covid rebuilding process shop local small busi,"['TheBigSpend', 'COVID19']",Twitter Web App,FALSE,Neutral,69,,,,,,,,,
Frank Brehany,"Ireland, France, BHX & Wales ","Independent, Podcaster, Media & Broadcast Ambassador (Rate Card). Campaigner (@AMagdaleneRose etc). Justice, Equality, Europe, Politics, Music, Art, interest!",4/8/2009 18:32,2093,4978,5266,FALSE,7/25/2020 12:22,traveltuesday covid excellent data chart map cv progressing society also,"['TravelTuesday', 'COVID19']",Twitter Web App,FALSE,Joy,70,,,,,,,,,
Murthy Journalist,"Hyderabad, India",Journalist,9/14/2019 15:46,22124,6,18,FALSE,7/25/2020 12:22,new positive covid case reported andhrapradesh last hour apfightscorona stayhome,"['COVID19', 'AndhraPradesh', 'APFightsCorona', 'StayHome']",Twitter for Android,FALSE,Joy,71,,,,,,,,,
Magilla Gorilla 39,Mr. Peeble's Pet Shop,"I temporarily live at Mr. Peeble's Pet Shop, but I am hoping to get a permanent home soon.  I'm a focused gorilla detective. Tick, Tock Manitowoc. Tick, Tock.",2/4/2020 19:21,1428,95,2741,FALSE,7/25/2020 12:22,two quick estimate arizona post apex recovery rate avg peak covid confirmed case,['COVID19'],Twitter Web App,FALSE,Joy,72,,,,,,,,,
#FliptheSenate #HoldtheHouse #BLM #ArrestTrump,"Florida, USA","Hate the Orange Nazi Asshole, GOP,""Christian"" conservatives. I'm a fan of truth, justice & the progressive way, of rights for all. #resist #FBR NoDMs NO LISTS",7/27/2017 19:20,2617,2773,3,FALSE,7/25/2020 12:22,ar state sen jason rapert preached maskfree church covid im sorryis,['AR'],Twitter Web App,FALSE,Neutral,73,,,,,,,,,
#BBNaija Live Stream,Nigeria,"I convert shipping containers into offices, houses, stalls & swimming pools IG: @container_builds_nigeria #LFC IG-dear.evans",4/5/2011 12:54,839,478,676,FALSE,7/25/2020 12:22,want cheat waec carrying bbnajia covid tachadancechallange saynotonipostfee,"['BBNajia', 'COVID19', 'TachaDanceChallange', 'SayNoToNipostFee']",Twitter for iPhone,FALSE,Neutral,74,,,,,,,,,
NEWS9,BENGALURU,"NEWS9 brings you fastest news and updates on Politics, Finance, Cinema & Sports and also latest trends on Lifestyle, Tech and Wellness.",7/12/2012 5:31,25592,6,84,TRUE,7/25/2020 12:22,bignews rajasthan governor kalraj mishra appeal covid recovered patient donate plasma say,"['BIGNEWS', 'Rajasthan', 'COVID19']",Twitter Web App,FALSE,Neutral,75,,,,,,,,,
"Christine Murphy Estes, MM, MA, CCC-SLP","New York, NY","Speech-Language Pathologist, Voice Specialist, Sean Parker Institute for the Voice @WeillCornell. Opinions=mine. Black lives matter. Wear a mask. Be kind.",10/7/2018 2:31,622,1220,1121,FALSE,7/25/2020 12:21,friendly weekend reminder covid didnt go away got bored wearamask covid covid,"['wearamask', 'covid', 'covid19']",Twitter for iPhone,FALSE,Neutral,76,,,,,,,,,
Khaleej Times,United Arab Emirates,News. Trends. Views. Insights. UAE at your fingertips. Delivered specially for you by a news icon.,1/11/2009 7:56,565059,1102,493,TRUE,7/25/2020 12:21,photo uae hospital launch support group covid patient,"['UAE', 'Covid19']",Twitter Web App,FALSE,Neutral,77,,,,,,,,,
Suky Spook,England,"Expect the unexpected, it's a deep rabbit hole. Non reliquit lapis qui non reversatur.",7/21/2011 9:49,1960,1956,95918,FALSE,7/25/2020 12:21,intuitive yes learning covid every day amp listening science,['COVID19'],Twitter for iPhone,FALSE,Joy,78,,,,,,,,,
